,district,total_cases_%of_total_cases_in_jharkhand,recovered_%of_total_cases_per_district,deaths_%of_total_cases_per_district,active_%of_total_cases_per_district,no_of_hospital_managing_societies_per_active_cases,death_per_recovery,lat,lng
0,Bokaro,1,55,1,43,62.7906976744186,1.8181818181818181,23.7799854278389,85.9693222041408
1,Chatra,3,60,0,39,20.51282051282051,0.0,24.2061996459396,84.8712997436139
2,Deoghar,1,49,0,50,28.000000000000004,0.0,24.4915332794401,86.6912536621142
3,Dhanbad,6,38,2,59,74.57627118644068,5.263157894736842,23.7940425873898,86.4261703491141
4,Dumka,0,69,0,30,106.66666666666667,0.0,24.2652435302397,87.2501907348142
5,East Singhbhum,19,33,1,64,25.0,3.0303030303030303,22.7831096649373,86.2323303222141
6,Garhwa,6,50,0,49,20.408163265306122,0.0,24.1650981903395,83.8098983764137
7,Giridih,5,52,1,46,60.86956521739131,1.9230769230769231,24.1863098144396,86.3041152951414
8,Godda,1,20,2,77,1.2987012987012987,10.0,24.8290996551406,87.2141036981428
9,Gumla,4,51,0,48,33.33333333333333,0.0,23.0410995483775,84.5439987182138
10,Hazaribag,10,53,1,45,4.444444444444445,1.8867924528301887,23.9944133758393,85.3728637695139
11,Jamtara,1,59,0,40,25.0,0.0,23.9598522186392,86.8068313598142
12,Khunti,1,78,2,19,0.0,2.564102564102564,23.0758991241378,85.2791976928139
13,Koderma,10,57,0,41,17.073170731707318,0.0,24.46769523624,85.595199584914
14,Latehar,6,32,0,67,19.402985074626866,0.0,23.7448005676389,84.5075988769138
15,Lohardaga,5,54,0,45,33.33333333333333,0.0,23.4295005798383,84.6819000244138
16,Pakur,6,39,0,60,11.666666666666666,0.0,24.6373901367403,87.8557968139143
17,Palamu,8,62,0,37,64.86486486486487,0.0,23.831106185939,85.9575195311408
18,Ramgarh,11,49,0,50,0.0,0.0,23.6276760101387,85.510498046814
19,Ranchi,58,11,1,87,56.32183908045977,9.090909090909092,23.3244991302382,85.1909027099139
20,Sahibganj,13,13,1,85,5.88235294117647,7.6923076923076925,25.2411994934413,87.6344985961143
21,Seraikela Kharsawan,20,41,2,56,28.57142857142857,4.878048780487805,22.7021007537371,85.930702209414
22,Simdega,51,92,0,7,228.57142857142856,0.0,22.612699508637,84.5015029907138
23,West Singhbhum,42,74,0,25,64.0,0.0,22.461704254368,85.518310546814
